Marker,Dye,Length_of_the_repeat_unit,Sex_chromosomal_marker,Allele,Size
D8S1179,R,4,,17,116
D8S1179,R,4,,18,120
D8S1179,R,4,,19,124
D12S391,R,4,,14,133
D12S391,R,4,,15,137
D12S391,R,4,,16,141
D12S391,R,4,,17,145
D12S391,R,4,,17.3,148
D12S391,R,4,,18,149
D12S391,R,4,,18.3,152
D12S391,R,4,,19,153
D12S391,R,4,,20,157
D12S391,R,4,,21,161
D12S391,R,4,,22,165
D12S391,R,4,,23,169
D12S391,R,4,,24,173
D12S391,R,4,,25,177
D12S391,R,4,,26,181
D12S391,R,4,,27,185
D19S433,R,4,,5.2,193
D19S433,R,4,,6.2,197
D19S433,R,4,,8,203
D19S433,R,4,,9,207
D19S433,R,4,,10,211
D19S433,R,4,,11,215
D19S433,R,4,,12,219
D19S433,R,4,,12.2,221
D19S433,R,4,,13,223
D19S433,R,4,,13.2,225
D19S433,R,4,,14,227
D19S433,R,4,,14.2,229
D19S433,R,4,,15,231
D19S433,R,4,,15.2,233
D19S433,R,4,,16,235
D19S433,R,4,,16.2,237
D19S433,R,4,,17,239
D19S433,R,4,,17.2,241
D19S433,R,4,,18,243
D19S433,R,4,,18.2,245
SE33,R,4,,4.2,270
SE33,R,4,,6.3,279
SE33,R,4,,8,284
SE33,R,4,,9,288
SE33,R,4,,10,292
SE33,R,4,,11,296
SE33,R,4,,12,300
SE33,R,4,,13,304
SE33,R,4,,14,308
SE33,R,4,,15,312
SE33,R,4,,16,316
SE33,R,4,,17,320
SE33,R,4,,18,324
SE33,R,4,,19,328
SE33,R,4,,20,332
SE33,R,4,,20.2,334
SE33,R,4,,21,336
SE33,R,4,,21.2,338
SE33,R,4,,22,340
SE33,R,4,,22.2,342
SE33,R,4,,23.2,346
SE33,R,4,,24.2,350
SE33,R,4,,25.2,354
SE33,R,4,,26.2,358
SE33,R,4,,27.2,362
SE33,R,4,,28.2,366
SE33,R,4,,29.2,370
SE33,R,4,,30.2,374
SE33,R,4,,31.2,378
SE33,R,4,,32.2,382
SE33,R,4,,33.2,386
SE33,R,4,,34.2,390
SE33,R,4,,35,392
SE33,R,4,,36,396
SE33,R,4,,37,400
SE33,R,4,,39,408
D22S1045,R,3,,7,431
D22S1045,R,3,,8,434
D22S1045,R,3,,9,437
D22S1045,R,3,,10,440
D22S1045,R,3,,11,443
D22S1045,R,3,,12,446
D22S1045,R,3,,13,449
D22S1045,R,3,,14,452
D22S1045,R,3,,15,455
D22S1045,R,3,,16,458
D22S1045,R,3,,17,461
D22S1045,R,3,,18,464
D22S1045,R,3,,19,467
D22S1045,R,3,,20,470
DYS391,P,4,yes,5,86
DYS391,P,4,yes,6,90
DYS391,P,4,yes,7,94
DYS391,P,4,yes,8,98
DYS391,P,4,yes,9,102
DYS391,P,4,yes,10,106
DYS391,P,4,yes,11,110
DYS391,P,4,yes,12,114
DYS391,P,4,yes,13,118
DYS391,P,4,yes,14,122
DYS391,P,4,yes,15,126
DYS391,P,4,yes,16,130
FGA,P,4,,14,143
FGA,P,4,,15,147
FGA,P,4,,16,151
FGA,P,4,,17,155
FGA,P,4,,18,159
FGA,P,4,,18.2,161
FGA,P,4,,19,163
FGA,P,4,,19.2,165
FGA,P,4,,20,167
FGA,P,4,,20.2,169
FGA,P,4,,21,171
FGA,P,4,,21.2,173
FGA,P,4,,22,175
FGA,P,4,,22.2,177
FGA,P,4,,23,179
FGA,P,4,,23.2,181
FGA,P,4,,24,183
FGA,P,4,,24.2,185
FGA,P,4,,25,187
FGA,P,4,,25.2,189
FGA,P,4,,26,191
FGA,P,4,,27,195
FGA,P,4,,28,199
FGA,P,4,,29,203
FGA,P,4,,30,207
FGA,P,4,,31.2,213
FGA,P,4,,32.2,217
FGA,P,4,,33.2,221
DYS576,P,4,yes,11,308
DYS576,P,4,yes,12,312
DYS576,P,4,yes,13,316
DYS576,P,4,yes,14,320
DYS576,P,4,yes,15,324
DYS576,P,4,yes,16,328
DYS576,P,4,yes,17,332
DYS576,P,4,yes,18,336
DYS576,P,4,yes,19,340
DYS576,P,4,yes,20,344
DYS576,P,4,yes,21,348
DYS576,P,4,yes,22,352
DYS576,P,4,yes,23,356
DYS570,P,4,yes,10,393
DYS570,P,4,yes,11,397
DYS570,P,4,yes,12,401
DYS570,P,4,yes,13,405
DYS570,P,4,yes,14,409
DYS570,P,4,yes,15,413
DYS570,P,4,yes,16,417
DYS570,P,4,yes,17,421
DYS570,P,4,yes,18,425
DYS570,P,4,yes,19,429
DYS570,P,4,yes,20,433
DYS570,P,4,yes,21,437
DYS570,P,4,yes,22,441
DYS570,P,4,yes,23,445
DYS570,P,4,yes,24,449
DYS570,P,4,yes,25,453
